time,load_est_x,load_est_y,load_est_z,load_est_vx,load_est_vy,load_est_vz,drone0_est_x,drone0_est_y,drone0_est_z,drone0_est_vx,drone0_est_vy,drone0_est_vz,drone1_est_x,drone1_est_y,drone1_est_z,drone1_est_vx,drone1_est_vy,drone1_est_vz,drone2_est_x,drone2_est_y,drone2_est_z,drone2_est_vx,drone2_est_vy,drone2_est_vz,drone3_est_x,drone3_est_y,drone3_est_z,drone3_est_vx,drone3_est_vy,drone3_est_vz,drone4_est_x,drone4_est_y,drone4_est_z,drone4_est_vx,drone4_est_vy,drone4_est_vz
0.290000,0.384054,0.018154,0.317426,0.596089,-0.161325,0.097704,0.581115,0.016717,1.212809,-0.060531,-0.023555,-0.074333,0.193108,0.572618,1.166792,0.074834,0.034401,0.221643,-0.461132,0.366182,1.224502,0.116960,0.046897,0.025122,-0.463937,-0.370117,1.157392,0.086176,-0.233508,-0.199288,0.196904,-0.566031,1.157697,-0.065296,0.016977,-0.129013
0.300000,0.390364,0.016534,0.318343,0.643831,-0.112508,0.019452,0.581213,0.015584,1.214462,-0.057451,-0.027488,-0.064296,0.192618,0.571601,1.165644,0.069406,0.028434,0.207547,-0.460167,0.366363,1.223306,0.116064,0.045635,0.019059,-0.463187,-0.371973,1.152438,0.085684,-0.231408,-0.211692,0.195602,-0.565073,1.155148,-0.068140,0.020432,-0.134287
0.310000,0.397126,0.015402,0.318489,0.666966,-0.081120,-0.025159,0.581315,0.014574,1.216008,-0.054564,-0.030627,-0.055321,0.192160,0.570680,1.164522,0.064490,0.023292,0.194440,-0.459330,0.366514,1.222195,0.114682,0.044331,0.013723,-0.462536,-0.373580,1.147920,0.084806,-0.228392,-0.221536,0.194450,-0.564218,1.152831,-0.070146,0.023209,-0.138281
0.320000,0.404083,0.014574,0.318216,0.663046,-0.067767,-0.035280,0.579657,0.009459,1.209205,-0.059185,-0.050616,-0.080387,0.191204,0.569709,1.161023,0.057837,0.018287,0.172604,-0.461927,0.362828,1.220085,0.099117,0.027167,0.004711,-0.462147,-0.370971,1.146509,0.082899,-0.208055,-0.218309,0.191140,-0.566586,1.152617,-0.080990,0.012402,-0.133594
0.330000,0.410895,0.013714,0.317563,0.585851,-0.195036,-0.269728,0.578180,0.004867,1.202939,-0.062773,-0.067170,-0.101825,0.190330,0.568830,1.157742,0.051951,0.013986,0.152953,-0.464290,0.359504,1.218134,0.085529,0.012597,-0.003133,-0.461817,-0.368573,1.145264,0.080878,-0.189906,-0.214629,0.188181,-0.568720,1.152455,-0.089700,0.003253,-0.128987
0.340000,0.416868,0.011501,0.314433,0.486837,-0.358528,-0.556294,0.576864,0.000746,1.197173,-0.065494,-0.080804,-0.120061,0.189530,0.568035,1.154670,0.046735,0.010291,0.135279,-0.466438,0.356506,1.216331,0.073656,0.000249,-0.009937,-0.461538,-0.366366,1.144168,0.078781,-0.173679,-0.210595,0.185535,-0.570644,1.152338,-0.096611,-0.004479,-0.124481
0.350000,0.421823,0.007654,0.308441,0.401015,-0.482805,-0.769755,0.575692,-0.002953,1.191873,-0.067489,-0.091958,-0.135476,0.188798,0.567316,1.151797,0.042105,0.007118,0.119388,-0.468394,0.353802,1.214667,0.063269,-0.010196,-0.015820,-0.461305,-0.364336,1.143206,0.076640,-0.159144,-0.206290,0.183171,-0.572378,1.152261,-0.102004,-0.010998,-0.120090
0.360000,0.425908,0.002609,0.300397,0.336778,-0.533984,-0.852520,0.574649,-0.006272,1.187005,-0.068877,-0.101004,-0.148413,0.188127,0.566665,1.149112,0.037989,0.004394,0.105106,-0.470174,0.351362,1.213132,0.054174,-0.019009,-0.020889,-0.461113,-0.362467,1.142367,0.074478,-0.146097,-0.201786,0.181060,-0.573941,1.152218,-0.106118,-0.016477,-0.115826
0.370000,0.429332,-0.002885,0.291639,0.278336,-0.514879,-0.807042,0.573721,-0.009250,1.182537,-0.069758,-0.108257,-0.159177,0.187511,0.566075,1.146605,0.034322,0.002059,0.092272,-0.471795,0.349160,1.211717,0.046203,-0.026422,-0.025239,-0.460955,-0.360744,1.141637,0.072314,-0.134364,-0.197141,0.179175,-0.575351,1.152205,-0.109155,-0.021066,-0.111695
0.380000,0.432128,-0.008134,0.283444,0.195648,-0.450918,-0.673007,0.572897,-0.011922,1.178438,-0.070214,-0.113987,-0.168038,0.186947,0.565541,1.144264,0.031050,0.000058,0.080738,-0.473272,0.347174,1.210414,0.039209,-0.032633,-0.028953,-0.460828,-0.359155,1.141005,0.070164,-0.123790,-0.192406,0.177492,-0.576622,1.152218,-0.111285,-0.024890,-0.107701
