time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.800000,4.633065,-1.777384,-0.026448,-4.278493,0.541074,0.129286,-0.314553,-0.420836,2.146154,0.142400,0.195095,-2.132519
0.810000,4.739525,-1.936519,-0.033212,-4.325724,0.219125,0.053384,-0.126111,-0.171062,2.405948,0.157279,0.222934,-2.390429
0.820000,4.787172,-2.055112,-0.041131,-4.323406,0.175248,0.043176,-0.099008,-0.138004,2.510494,0.172056,0.250884,-2.491994
0.830000,4.773602,-2.114378,-0.048515,-4.279524,0.486113,0.120130,-0.267291,-0.387853,2.632982,0.199305,0.296339,-2.608650
0.840000,4.730208,-2.118129,-0.054213,-4.229120,0.857221,0.210679,-0.453869,-0.696020,2.784775,0.241155,0.362624,-2.750513
0.850000,4.701870,-2.086429,-0.057930,-4.213199,1.117768,0.270727,-0.562038,-0.927483,2.932638,0.295400,0.446640,-2.883335
0.860000,4.715069,-2.038141,-0.059863,-4.251385,1.362845,0.322141,-0.639375,-1.159643,3.056994,0.357995,0.542505,-2.987095
0.870000,4.767058,-1.983047,-0.060331,-4.334596,1.503718,0.343364,-0.644123,-1.314677,3.173049,0.425831,0.645806,-3.077311
0.880000,4.842006,-1.927681,-0.059797,-4.441340,2.165174,0.472637,-0.824998,-1.945244,3.304067,0.495804,0.752124,-3.178891
0.890000,4.931845,-1.881667,-0.058958,-4.558393,2.659819,0.549794,-0.873120,-2.451535,3.446791,0.560392,0.850257,-3.292930
0.900000,5.039374,-1.855068,-0.058489,-4.685146,3.116019,0.605348,-0.848657,-2.936479,3.577150,0.608092,0.922859,-3.402141
0.910000,5.167369,-1.851878,-0.058599,-4.823776,3.485599,0.633962,-0.754426,-3.343401,3.679804,0.630603,0.957330,-3.496686
0.920000,5.307670,-1.866701,-0.058719,-4.968233,3.515551,0.599952,-0.576457,-3.415678,3.752184,0.627064,0.952251,-3.574758
0.930000,5.438238,-1.886410,-0.057507,-5.100254,3.141726,0.508176,-0.370136,-3.078181,3.789231,0.602895,0.915632,-3.627177
0.940000,5.530003,-1.895867,-0.053305,-5.194591,2.725671,0.425254,-0.216809,-2.683549,3.727110,0.560179,0.850343,-3.585313
0.950000,5.565491,-1.886891,-0.045008,-5.235676,2.600927,0.401006,-0.130461,-2.566514,3.563309,0.512841,0.777271,-3.439479
0.960000,5.560638,-1.866104,-0.032830,-5.238060,2.248553,0.352992,-0.068904,-2.219603,3.533647,0.503525,0.760837,-3.413832
0.970000,5.559994,-1.851778,-0.018158,-5.242530,1.833029,0.301586,-0.038444,-1.807640,3.407317,0.501943,0.755002,-3.284484
0.980000,5.602081,-1.860895,-0.002823,-5.283973,1.573700,0.277192,-0.031796,-1.548769,3.397781,0.537287,0.803595,-3.257372
0.990000,5.692862,-1.900352,0.011230,-5.366303,1.447074,0.275960,-0.038825,-1.419987,4.009842,0.696589,1.035257,-3.810753
1.000000,5.815065,-1.970154,0.021912,-5.471106,1.404870,0.291045,-0.055441,-1.373273,4.334525,0.832103,1.228168,-4.072753
1.010000,5.724131,-1.992548,0.026334,-5.366072,1.582587,0.355451,-0.089983,-1.539525,4.359304,0.914519,1.339746,-4.046265
1.020000,5.761266,-2.084415,0.025084,-5.370919,1.889619,0.457726,-0.147455,-1.827404,4.219444,0.946620,1.375327,-3.875060
1.030000,5.824935,-2.204084,0.017672,-5.391805,2.182194,0.565185,-0.221447,-2.096068,4.025285,0.942614,1.356777,-3.670634
1.040000,5.869837,-2.318291,0.004369,-5.392633,2.360715,0.645097,-0.294057,-2.251745,3.959379,0.947285,1.349110,-3.599893
1.050000,5.859308,-2.387799,-0.013767,-5.350674,2.403062,0.680375,-0.345964,-2.278619,3.853172,0.928526,1.306595,-3.503938
1.060000,5.786686,-2.385005,-0.035017,-5.272216,2.338135,0.671051,-0.366319,-2.209609,3.542605,0.855484,1.187854,-3.226019
1.070000,5.765491,-2.342142,-0.058519,-5.268001,2.079596,0.590990,-0.334554,-1.965585,2.969536,0.719769,0.985224,-2.707288
1.080000,5.757601,-2.242086,-0.083028,-5.302464,1.920614,0.529388,-0.301104,-1.821495,2.399455,0.587248,0.792078,-2.187496
1.090000,5.770563,-2.100683,-0.107439,-5.373545,1.769801,0.463396,-0.256624,-1.688669,2.544936,0.633858,0.842687,-2.316205
1.100000,5.768306,-1.930655,-0.129783,-5.434067,1.837985,0.447888,-0.233701,-1.767192,2.851557,0.728499,0.955481,-2.586064
1.110000,5.745164,-1.763421,-0.148570,-5.465819,2.232364,0.496204,-0.234875,-2.163808,3.009474,0.794347,1.029100,-2.714203
1.120000,5.630627,-1.606771,-0.160926,-5.394103,2.511318,0.499774,-0.205193,-2.452517,3.181919,0.871264,1.116351,-2.849433
1.130000,5.442494,-1.482021,-0.166699,-5.234173,2.622864,0.461475,-0.158144,-2.577101,3.365842,0.955190,1.211694,-2.991371
1.140000,5.248510,-1.404210,-0.168143,-5.054383,2.569653,0.398678,-0.114801,-2.535940,3.462258,1.011316,1.270927,-3.057649
1.150000,5.095608,-1.371121,-0.167486,-4.904814,2.420278,0.333814,-0.090274,-2.395446,3.371064,1.000676,1.246166,-2.968129
1.160000,5.016111,-1.376471,-0.166563,-4.820680,2.329077,0.290087,-0.090569,-2.309166,3.209294,0.951747,1.174609,-2.830908
1.170000,4.970876,-1.399437,-0.164703,-4.766976,2.311831,0.265006,-0.113179,-2.293801,3.152675,0.915864,1.120418,-2.800931
1.180000,4.936077,-1.428434,-0.161643,-4.722108,2.242603,0.240598,-0.148049,-2.224738,3.048894,0.849799,1.031191,-2.740482
1.190000,4.912218,-1.463029,-0.157959,-4.686628,1.855126,0.187780,-0.162473,-1.838432,2.472507,0.648359,0.781461,-2.254382
1.200000,4.880153,-1.499240,-0.153679,-4.641611,1.437276,0.137022,-0.159847,-1.421773,1.960062,0.475404,0.570503,-1.813935
1.210000,4.833009,-1.536388,-0.149324,-4.579868,1.319770,0.117450,-0.177899,-1.302440,2.200687,0.488034,0.585393,-2.064500
1.220000,4.795798,-1.582532,-0.146369,-4.524804,1.313719,0.107673,-0.206052,-1.292984,2.291941,0.463024,0.558481,-2.174098
1.230000,4.768347,-1.636637,-0.145326,-4.476319,1.320882,0.098044,-0.233059,-1.296457,2.243022,0.415938,0.508685,-2.144617
1.240000,4.721495,-1.686410,-0.145511,-4.407648,1.387137,0.091495,-0.267707,-1.357980,2.157565,0.374446,0.468483,-2.072535
1.250000,4.571737,-1.697573,-0.144027,-4.242438,1.611394,0.092711,-0.332149,-1.574063,2.135312,0.356970,0.460004,-2.054392
1.260000,4.358175,-1.678691,-0.141209,-4.019422,1.916203,0.095112,-0.413292,-1.868683,2.117785,0.352546,0.469003,-2.034886
1.270000,4.214504,-1.678305,-0.140406,-3.863370,2.222018,0.096431,-0.493471,-2.164382,2.065334,0.352844,0.483309,-1.976744
1.280000,4.144881,-1.698285,-0.141035,-3.778356,2.433814,0.098171,-0.551392,-2.368498,2.028901,0.363476,0.509552,-1.929943
1.290000,4.140366,-1.734154,-0.142168,-3.757010,2.488705,0.104320,-0.574638,-2.419206,1.979917,0.375827,0.535433,-1.868726
1.300000,4.129445,-1.753068,-0.140789,-3.736208,2.434667,0.119243,-0.576441,-2.362436,1.819332,0.365987,0.526558,-1.702575
1.310000,4.110699,-1.750164,-0.136495,-3.717007,2.384308,0.146596,-0.584285,-2.306956,1.624361,0.343891,0.497210,-1.507670
1.320000,4.079465,-1.720331,-0.129059,-3.696733,2.385445,0.187733,-0.610309,-2.298396,1.890937,0.416449,0.602845,-1.743213
1.330000,4.051664,-1.669370,-0.119141,-3.689850,2.401822,0.238594,-0.644964,-2.301270,2.173620,0.490497,0.708726,-1.995431
1.340000,4.032755,-1.601134,-0.107131,-3.699730,2.401646,0.292220,-0.677233,-2.285578,2.470875,0.561207,0.807268,-2.266845
1.350000,4.018316,-1.518128,-0.093205,-3.719337,2.427374,0.348985,-0.715826,-2.293021,2.793915,0.626581,0.895219,-2.571370
1.360000,3.953079,-1.407302,-0.076674,-3.693299,2.369055,0.387998,-0.725213,-2.221699,3.088874,0.671421,0.950882,-2.861147
1.370000,3.770266,-1.257648,-0.057644,-3.553857,2.335914,0.421046,-0.735757,-2.176666,3.284686,0.681458,0.954936,-3.068040
1.380000,3.527708,-1.101871,-0.038861,-3.350984,2.291015,0.440445,-0.736360,-2.124272,3.368473,0.660333,0.914201,-3.174084
1.390000,3.402733,-1.000029,-0.022959,-3.252384,2.205349,0.439697,-0.718844,-2.038012,3.404639,0.627840,0.857752,-3.234446
1.400000,3.500490,-0.977889,-0.009356,-3.361112,2.137806,0.431172,-0.704482,-1.971804,3.464798,0.600480,0.808954,-3.315093
1.410000,3.566428,-0.960962,0.003711,-3.434523,2.100919,0.419221,-0.700056,-1.935984,3.553806,0.578119,0.767804,-3.421373
1.420000,3.600532,-0.951672,0.015360,-3.472451,2.052643,0.397039,-0.693627,-1.890657,3.608133,0.547564,0.717108,-3.493502
1.430000,3.621190,-0.954317,0.025124,-3.493088,1.974242,0.362906,-0.679553,-1.817729,3.565848,0.497348,0.642757,-3.472000
1.440000,3.629686,-0.966527,0.032910,-3.498480,1.793254,0.306903,-0.631225,-1.650190,3.439512,0.429901,0.549042,-3.368083
1.450000,3.629784,-0.985530,0.038976,-3.493214,1.536938,0.239342,-0.554239,-1.413405,3.374615,0.365021,0.462013,-3.322850
1.460000,3.623773,-1.007967,0.043826,-3.480491,1.243233,0.171446,-0.458665,-1.142743,3.355637,0.300983,0.380007,-3.320438
1.470000,3.613272,-1.030746,0.048077,-3.462800,0.980313,0.115701,-0.368400,-0.901060,3.266564,0.231781,0.296166,-3.244843
1.480000,3.626119,-1.059300,0.052692,-3.467541,0.851717,0.082176,-0.323924,-0.783417,3.143167,0.168794,0.224985,-3.130557
1.490000,3.667774,-1.094107,0.058254,-3.500300,1.245520,0.091684,-0.475584,-1.147491,3.029920,0.119980,0.176067,-3.022419
1.500000,3.729209,-1.132248,0.064878,-3.552578,1.631081,0.080685,-0.619095,-1.506864,2.921295,0.086988,0.150514,-2.916117
1.510000,3.810978,-1.174342,0.072497,-3.624806,1.940989,0.046944,-0.723074,-1.800666,2.773828,0.068172,0.144021,-2.769248
1.520000,3.910206,-1.220568,0.080628,-3.713950,2.175690,-0.003813,-0.783085,-2.029875,2.566852,0.060417,0.149635,-2.561775
1.530000,4.014176,-1.268311,0.088220,-3.807521,2.355721,-0.064591,-0.804381,-2.213192,2.362834,0.060629,0.162861,-2.356435
1.540000,4.099470,-1.311301,0.093671,-3.882959,2.508211,-0.128961,-0.796634,-2.374840,2.237877,0.066569,0.183243,-2.229368
1.550000,4.141626,-1.342008,0.095283,-3.917014,2.635204,-0.189622,-0.763416,-2.515062,2.181009,0.075652,0.208140,-2.169736
1.560000,4.129558,-1.355912,0.092009,-3.899523,2.703411,-0.235479,-0.702182,-2.599985,2.125489,0.084234,0.230191,-2.111307
1.570000,4.075903,-1.355238,0.083977,-3.843080,2.678268,-0.254967,-0.616015,-2.593962,2.030496,0.089491,0.243192,-2.013892
1.580000,4.021297,-1.351373,0.072418,-3.786737,2.573090,-0.245357,-0.520691,-2.507882,1.869757,0.089531,0.242501,-1.851802
1.590000,4.007284,-1.356630,0.058556,-3.770206,2.464336,-0.216059,-0.438067,-2.415443,1.685064,0.086336,0.233192,-1.666616
1.600000,3.991638,-1.355409,0.042241,-3.754232,2.431129,-0.177579,-0.379879,-2.394691,1.489369,0.081131,0.218004,-1.471092
1.610000,3.961431,-1.342164,0.024230,-3.727056,2.460975,-0.130103,-0.337715,-2.434218,1.272468,0.073740,0.196197,-1.255087
1.620000,3.885385,-1.305713,0.005495,-3.659413,2.444266,-0.070915,-0.292249,-2.425695,1.154012,0.071495,0.187231,-1.136476
1.630000,3.768291,-1.247999,-0.012605,-3.555609,2.426414,-0.009017,-0.247181,-2.413774,1.428913,0.095355,0.244205,-1.404657
1.640000,3.659599,-1.186413,-0.029296,-3.461824,2.325160,0.048478,-0.192723,-2.316652,1.653691,0.120405,0.299241,-1.621928
1.650000,3.522029,-1.110330,-0.043831,-3.342145,2.188750,0.093896,-0.135324,-2.182544,1.812950,0.146282,0.350210,-1.772778
1.660000,3.383336,-1.031202,-0.056082,-3.221869,2.141324,0.130903,-0.082854,-2.135713,1.925831,0.174394,0.400325,-1.875674
1.670000,3.282603,-0.963543,-0.066742,-3.137294,2.050771,0.153778,-0.029167,-2.044789,2.125278,0.217292,0.477819,-2.059437
1.680000,3.211524,-0.907248,-0.076018,-3.079774,1.937854,0.163648,0.020063,-1.930827,2.259312,0.260384,0.549796,-2.175872
1.690000,3.228275,-0.881283,-0.085761,-3.104472,1.823135,0.164073,0.061008,-1.814712,2.355783,0.303112,0.617548,-2.253103
1.700000,3.271974,-0.871735,-0.094932,-3.152282,1.713863,0.158358,0.091718,-1.704065,2.459871,0.347714,0.687793,-2.336022
1.710000,3.285246,-0.867851,-0.101947,-3.166904,1.622037,0.150073,0.112127,-1.611183,2.598279,0.395388,0.764329,-2.451637
1.720000,3.278956,-0.875978,-0.107078,-3.157966,1.540681,0.140492,0.122167,-1.529391,2.770097,0.443711,0.843685,-2.600914
1.730000,3.274234,-0.902578,-0.111101,-3.145412,1.482026,0.132035,0.123632,-1.470947,2.923852,0.481871,0.906732,-2.737617
1.740000,3.272078,-0.946409,-0.114218,-3.130137,1.437677,0.124709,0.116984,-1.427473,2.980563,0.494903,0.926620,-2.789302
1.750000,3.259520,-0.999796,-0.116124,-3.100225,1.506030,0.127254,0.110382,-1.496579,2.907431,0.478114,0.894691,-2.724718
1.760000,3.233384,-1.055585,-0.116818,-3.053992,1.641639,0.135564,0.097700,-1.633112,2.781649,0.447591,0.839706,-2.613834
1.770000,3.132384,-1.085582,-0.114155,-2.936037,1.794875,0.145592,0.072824,-1.787478,2.700946,0.422245,0.795482,-2.546375
1.780000,3.047150,-1.113214,-0.111500,-2.834333,1.937742,0.155135,0.034014,-1.931222,2.676405,0.405302,0.766950,-2.531929
1.790000,2.999509,-1.144019,-0.109722,-2.770602,2.039986,0.161546,-0.016172,-2.033515,2.617313,0.383916,0.728939,-2.484267
1.800000,3.063119,-1.206850,-0.111525,-2.813143,2.084527,0.162973,-0.070729,-2.076942,2.462075,0.350171,0.665755,-2.344347
1.810000,3.111849,-1.253659,-0.112250,-2.845935,2.081719,0.159754,-0.121946,-2.071995,2.120235,0.292406,0.555257,-2.025237
1.820000,3.164943,-1.292151,-0.112527,-2.886962,2.062841,0.154152,-0.165882,-2.050374,1.782883,0.238004,0.450182,-1.708614
1.830000,3.208954,-1.318185,-0.111781,-2.923572,2.057897,0.148634,-0.202802,-2.042479,1.529642,0.196925,0.370048,-1.471084
1.840000,3.248503,-1.335514,-0.110073,-2.959233,2.077450,0.144481,-0.234033,-2.059163,1.279860,0.158031,0.294280,-1.235503
