time,load_gps_x,load_gps_y,load_gps_z,drone0_gps_x,drone0_gps_y,drone0_gps_z,drone1_gps_x,drone1_gps_y,drone1_gps_z,drone2_gps_x,drone2_gps_y,drone2_gps_z
0.810000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.820000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.830000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.840000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.850000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.860000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.870000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.880000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.890000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.900000,0.010677,-0.002278,0.155776,0.595856,-0.029445,1.295620,-0.276531,0.490895,1.180767,-0.312936,-0.524630,1.216411
0.910000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.920000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.930000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.940000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.950000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.960000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.970000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.980000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
0.990000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
1.000000,0.012278,0.000209,0.091060,0.582436,-0.024376,1.283836,-0.326004,0.512492,1.311078,-0.319417,-0.496661,1.207393
1.010000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.020000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.030000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.040000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.050000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.060000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.070000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.080000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.090000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.100000,0.020306,0.013891,0.156763,0.582243,0.015627,1.250599,-0.287694,0.516237,1.318743,-0.310691,-0.480831,1.256834
1.110000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.120000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.130000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.140000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.150000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.160000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.170000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.180000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.190000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.200000,-0.014877,-0.006062,0.186106,0.518367,-0.028064,1.238757,-0.298008,0.526405,1.355963,-0.309200,-0.534188,1.287264
1.210000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.220000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.230000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.240000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.250000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.260000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.270000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.280000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.290000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.300000,0.013269,-0.034492,0.183356,0.571419,0.013633,1.307005,-0.289966,0.505802,1.301035,-0.267766,-0.492986,1.333246
1.310000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.320000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.330000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.340000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.350000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.360000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.370000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.380000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.390000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.400000,-0.006077,0.015311,0.222107,0.583354,0.001771,1.253651,-0.283457,0.484260,1.286722,-0.297494,-0.544637,1.294742
1.410000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.420000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.430000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.440000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.450000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.460000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.470000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.480000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.490000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.500000,0.002552,-0.003390,0.094981,0.579954,0.018211,1.175380,-0.283434,0.494701,1.286169,-0.331778,-0.508587,1.270220
1.510000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.520000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.530000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.540000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.550000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.560000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.570000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.580000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.590000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.600000,-0.016324,0.007578,0.170502,0.555631,-0.012204,1.238003,-0.325469,0.467466,1.306963,-0.304114,-0.500961,1.299002
1.610000,0.016540,-0.003420,0.156262,0.562252,0.018593,1.382068,-0.298059,0.513450,1.229113,-0.258118,-0.505473,1.223613
