time,rope0_mag,rope0_fx,rope0_fy,rope0_fz,rope1_mag,rope1_fx,rope1_fy,rope1_fz,rope2_mag,rope2_fx,rope2_fy,rope2_fz
0.710000,0.782520,-0.453545,0.020248,-0.637357,3.347141,0.302760,-0.528135,-3.291317,0.595931,0.148947,0.289109,-0.499364
0.720000,0.527981,-0.295175,0.013669,-0.437548,3.529739,0.342757,-0.596490,-3.462048,0.558828,0.130955,0.255842,-0.479255
0.730000,0.451677,-0.240204,0.011547,-0.382337,3.604101,0.377166,-0.654872,-3.523980,0.936877,0.202288,0.398034,-0.823642
0.740000,0.833833,-0.415637,0.020773,-0.722559,3.562237,0.399551,-0.692319,-3.471395,1.396027,0.271954,0.539222,-1.258639
0.750000,1.149721,-0.527491,0.027408,-1.021205,3.459832,0.411846,-0.712366,-3.360559,1.703040,0.292234,0.583876,-1.572906
0.760000,1.600803,-0.661581,0.035624,-1.457262,3.380152,0.422401,-0.729549,-3.273341,2.174635,0.320756,0.645149,-2.051813
0.770000,2.009113,-0.730404,0.040428,-1.871205,3.384478,0.439592,-0.758349,-3.269000,2.568319,0.318983,0.644052,-2.465706
0.780000,2.316570,-0.723723,0.040499,-2.200246,3.483682,0.466558,-0.804179,-3.357329,2.862611,0.296305,0.597110,-2.783919
0.790000,2.730068,-0.719037,0.039476,-2.633382,3.636585,0.499754,-0.860968,-3.497675,2.945715,0.255833,0.509766,-2.889969
0.800000,3.027166,-0.665922,0.034063,-2.952816,3.774651,0.531972,-0.916383,-3.622877,2.754831,0.205784,0.400723,-2.717750
0.810000,2.956744,-0.545919,0.023936,-2.905810,3.840672,0.557654,-0.960933,-3.676464,2.437005,0.162423,0.305757,-2.412286
0.820000,2.659740,-0.419583,0.013781,-2.626401,3.835160,0.579116,-0.998605,-3.657303,2.315922,0.143599,0.259564,-2.296846
0.830000,2.379793,-0.329715,0.006249,-2.356833,3.827441,0.608380,-1.050040,-3.629957,2.277331,0.137708,0.239082,-2.260556
0.840000,2.343050,-0.296272,0.001181,-2.324243,3.900597,0.660311,-1.140807,-3.671131,2.272332,0.140881,0.236999,-2.255544
0.850000,2.292547,-0.279193,-0.002519,-2.275482,4.097339,0.744668,-1.287717,-3.817780,2.237763,0.148919,0.246276,-2.219179
0.860000,2.185785,-0.272729,-0.004666,-2.168698,4.379315,0.856009,-1.481310,-4.031299,2.305971,0.170809,0.281875,-2.282295
0.870000,2.100734,-0.284551,-0.005437,-2.081366,4.624561,0.966048,-1.672549,-4.201892,2.371219,0.200152,0.333328,-2.339126
0.880000,2.171662,-0.333261,-0.005364,-2.145932,4.700875,1.034105,-1.790929,-4.221543,2.473737,0.240161,0.406073,-2.428333
0.890000,2.181067,-0.388143,-0.003964,-2.146248,4.587987,1.040630,-1.802612,-4.088680,2.649724,0.294774,0.506963,-2.584015
0.900000,2.332485,-0.483683,-0.001644,-2.281783,4.426078,1.010599,-1.750958,-3.937386,2.850205,0.358015,0.625850,-2.757500
0.910000,2.555645,-0.611897,0.001964,-2.481310,4.359976,0.979025,-1.696709,-3.895135,3.070190,0.425059,0.753826,-2.945698
0.920000,2.779608,-0.752913,0.006830,-2.675686,4.341936,0.940060,-1.629742,-3.913136,3.287942,0.485995,0.872387,-3.132621
0.930000,2.995201,-0.890977,0.012479,-2.859586,4.329718,0.892158,-1.547276,-3.944166,3.477849,0.528538,0.958157,-3.301214
0.940000,3.200836,-1.007477,0.018173,-3.038093,4.259279,0.832436,-1.444091,-3.919581,3.643424,0.546527,0.998610,-3.461015
