time,load_x,load_y,load_z,load_vx,load_vy,load_vz,load_qw,load_qx,load_qy,load_qz,load_wx,load_wy,load_wz,drone0_x,drone0_y,drone0_z,drone0_vx,drone0_vy,drone0_vz,drone0_qw,drone0_qx,drone0_qy,drone0_qz,drone0_wx,drone0_wy,drone0_wz,drone1_x,drone1_y,drone1_z,drone1_vx,drone1_vy,drone1_vz,drone1_qw,drone1_qx,drone1_qy,drone1_qz,drone1_wx,drone1_wy,drone1_wz,drone2_x,drone2_y,drone2_z,drone2_vx,drone2_vy,drone2_vz,drone2_qw,drone2_qx,drone2_qy,drone2_qz,drone2_wx,drone2_wy,drone2_wz
0.200000,0.002532,-0.000102,0.149031,0.029417,-0.013512,0.000269,0.999971,0.000357,0.007645,-0.000038,0.090461,0.196755,-0.006852,0.592709,0.000104,1.181891,-0.057835,0.000894,-0.098831,0.999898,0.000171,0.014275,-0.000000,0.002636,0.176470,-0.000013,-0.298674,0.517795,1.191064,0.020436,-0.031282,-0.137211,0.999986,-0.004309,-0.002930,-0.000001,-0.130889,-0.082414,-0.000055,-0.297616,-0.515750,1.186988,0.025545,0.041982,-0.092538,0.999955,0.008132,-0.004937,0.000000,0.139308,-0.084516,0.000003
0.210000,0.002846,-0.000250,0.149032,0.032524,-0.014765,-0.001153,0.999962,0.000852,0.008694,-0.000072,0.090243,0.212375,-0.007038,0.592128,0.000113,1.180895,-0.058377,0.000910,-0.100352,0.999885,0.000185,0.015151,-0.000000,0.002628,0.173898,-0.000013,-0.298459,0.517465,1.189627,0.022410,-0.034620,-0.148877,0.999982,-0.004992,-0.003358,-0.000001,-0.140726,-0.088170,-0.000062,-0.297358,-0.515326,1.186093,0.025978,0.042691,-0.087240,0.999947,0.008827,-0.005359,0.000000,0.138792,-0.084143,0.000004
0.220000,0.003141,-0.000334,0.148993,0.030261,-0.008559,-0.001833,0.999953,0.001125,0.009674,-0.000088,0.057271,0.202345,-0.003535,0.591542,0.000122,1.179882,-0.058757,0.000923,-0.102138,0.999872,0.000198,0.016012,-0.000000,0.002609,0.170819,-0.000013,-0.298227,0.517104,1.188108,0.023992,-0.037299,-0.153805,0.999976,-0.005708,-0.003806,-0.000001,-0.144797,-0.090626,-0.000064,-0.297096,-0.514896,1.185238,0.026362,0.043326,-0.083992,0.999938,0.009518,-0.005778,0.000000,0.137548,-0.083390,0.000003
0.230000,0.003457,-0.000438,0.148997,0.033012,-0.012839,0.002035,0.999941,0.001475,0.010731,-0.000108,0.086054,0.220782,-0.005635,0.590953,0.000132,1.178852,-0.058952,0.000933,-0.103861,0.999858,0.000211,0.016857,-0.000000,0.002582,0.167085,-0.000014,-0.297980,0.516720,1.186568,0.025233,-0.039406,-0.153580,0.999970,-0.006437,-0.004262,-0.000001,-0.146689,-0.091718,-0.000064,-0.296831,-0.514460,1.184408,0.026673,0.043843,-0.082255,0.999929,0.010201,-0.006192,0.000000,0.135726,-0.082289,0.000003
0.240000,0.003800,-0.000599,0.149024,0.035270,-0.019485,0.002935,0.999927,0.002014,0.011876,-0.000141,0.130535,0.235843,-0.009333,0.590363,0.000141,1.177807,-0.058896,0.000941,-0.104868,0.999844,0.000224,0.017681,-0.000000,0.002546,0.162264,-0.000014,-0.297722,0.516317,1.185043,0.026282,-0.041196,-0.151304,0.999963,-0.007175,-0.004723,-0.000001,-0.148489,-0.092663,-0.000066,-0.296563,-0.514019,1.183587,0.026930,0.044275,-0.082334,0.999919,0.010875,-0.006600,0.000000,0.133764,-0.081081,0.000003
0.250000,0.004160,-0.000833,0.149049,0.036662,-0.026939,0.001905,0.999910,0.002797,0.013082,-0.000193,0.179814,0.244801,-0.013820,0.589776,0.000151,1.176759,-0.058503,0.000943,-0.104427,0.999829,0.000236,0.018476,-0.000000,0.002497,0.155961,-0.000015,-0.297455,0.515897,1.183550,0.027118,-0.042639,-0.146762,0.999955,-0.007919,-0.005187,-0.000001,-0.148755,-0.092711,-0.000066,-0.296292,-0.513575,1.182755,0.027145,0.044643,-0.084389,0.999909,0.011538,-0.007003,0.000000,0.131728,-0.079810,0.000004
0.260000,0.004523,-0.001122,0.149056,0.036371,-0.031405,0.000018,0.999891,0.003766,0.014294,-0.000259,0.210058,0.243132,-0.016792,0.589195,0.000160,1.175726,-0.057694,0.000941,-0.101912,0.999815,0.000248,0.019236,-0.000000,0.002435,0.147917,-0.000016,-0.297181,0.515466,1.182129,0.027523,-0.043358,-0.136133,0.999947,-0.008654,-0.005646,-0.000001,-0.144222,-0.090041,-0.000060,-0.296020,-0.513127,1.181894,0.027298,0.044911,-0.087886,0.999898,0.012191,-0.007398,0.000000,0.129222,-0.078263,0.000004
0.270000,0.004889,-0.001456,0.149052,0.036778,-0.034857,-0.000710,0.999868,0.004882,0.015516,-0.000338,0.233058,0.245859,-0.018994,0.588624,0.000169,1.174730,-0.056426,0.000936,-0.096999,0.999801,0.000260,0.019952,-0.000000,0.002361,0.138120,-0.000018,-0.296907,0.515034,1.180865,0.027254,-0.042931,-0.115919,0.999938,-0.009349,-0.006081,-0.000002,-0.133386,-0.083728,-0.000044,-0.295747,-0.512677,1.180997,0.027319,0.044958,-0.091253,0.999887,0.012828,-0.007784,0.000000,0.125456,-0.075997,0.000003
0.280000,0.005259,-0.001813,0.149044,0.037183,-0.036139,-0.000829,0.999841,0.006075,0.016754,-0.000423,0.241560,0.248559,-0.019618,0.588068,0.000179,1.173792,-0.054778,0.000926,-0.090511,0.999787,0.000272,0.020615,-0.000000,0.002274,0.127316,-0.000020,-0.296637,0.514609,1.179818,0.026699,-0.042027,-0.094485,0.999929,-0.009990,-0.006484,-0.000002,-0.124070,-0.078053,-0.000035,-0.295475,-0.512229,1.180076,0.027110,0.044621,-0.092359,0.999876,0.013441,-0.008156,0.000000,0.119699,-0.072585,0.000001
0.290000,0.005630,-0.002172,0.149036,0.036850,-0.035412,-0.000615,0.999811,0.007277,0.017993,-0.000507,0.236616,0.246304,-0.018950,0.587530,0.000188,1.172924,-0.052831,0.000914,-0.083246,0.999775,0.000283,0.021222,-0.000000,0.002176,0.115862,-0.000022,-0.296373,0.514194,1.178972,0.026110,-0.041068,-0.075469,0.999920,-0.010591,-0.006862,-0.000002,-0.116458,-0.073324,-0.000030,-0.295206,-0.511787,1.179162,0.026622,0.043806,-0.089896,0.999866,0.014021,-0.008507,0.000000,0.111921,-0.067995,-0.000003
